First ID,Loci typed,Second ID,Loci typed,Matching loci,Mismatching loci,pID,pIDsib,Status
10,16,52,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,55,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,57,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,59,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,6,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,60,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,61,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,62,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,65,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,73,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,75,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,76,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,77,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,78,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,79,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,8,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,84,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,85,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,86,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,89,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,94,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,95,16,7,9, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,96,16,6,10, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
10,16,98,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,105,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,106,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,108,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,109,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,11,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,112,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,115,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,116,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,117,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,12,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,129,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,132,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,137,15,1,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,139,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,140,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,142,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,144,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,145,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,147,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,157,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,16,15,4,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,160,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,162,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,166,16,3,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,177,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,178,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,18,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,186,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,189,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,19,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,190,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,191,16,5,11, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,193,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,204,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,21,15,3,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,211,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,216,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,222,16,1,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,224,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,226,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,23,15,2,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,230,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,232,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,238,16,0,16, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,24,15,0,15, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,242,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,243,16,4,12, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,244,16,2,14, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
102,16,25,15,2,13, 0.00000000000000E+0000, 0.00000000000000E+0000,Excluded
